timestamp,account,label,symbol,side,qty,entry,exit,exit_reason,pnl_r,pnl_usd,mae,mfe
2026-07-30T04:46:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,2,5352,5352.52,ADVERSE_TAPE,0.52,32.5,0.58,3.85
2026-07-30T05:03:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,1,5327,5326.03,TARGET,0.97,60.63,1,5.02
2026-07-30T05:36:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,2,5343,5342.15,STOP,-0.85,-53.13,5.36,3.34
2026-07-30T05:42:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,2,5319,5319.14,ADVERSE_TAPE,-0.14,-8.75,6.95,2.82
2026-07-30T05:45:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,3,5332,5331.65,STOP,-0.35,-21.88,5.84,3.27
2026-07-30T06:42:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,2,5327,5327.4,STOP,-0.4,-25,2.34,4.42
2026-07-30T08:50:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,3,5302,5300.46,TARGET,1.54,96.25,1.58,5.79
2026-07-30T11:36:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,1,5357,5355.33,TARGET,1.67,104.38,0.47,7.13
2026-07-30T11:49:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,3,5353,5352.31,TARGET,0.69,43.13,1.79,3.67
2026-07-31T03:24:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,2,5318,5317.42,STOP,-0.58,-36.25,4.07,2.39
2026-07-31T05:58:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,3,5314,5313.79,ADVERSE_TAPE,-0.21,-13.13,6.22,1.16
2026-07-31T06:38:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,3,5352,5354.63,TARGET,2.63,164.38,0.64,9.18
2026-07-31T08:19:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,2,5355,5354.17,TARGET,0.83,51.88,2.42,1.82
2026-07-31T09:34:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,2,5314,5313.52,ADVERSE_TAPE,-0.48,-30,5.36,1.48
2026-07-31T11:29:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,3,5351,5353.45,TARGET,2.45,153.13,1.99,8.55
2026-08-01T03:21:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,3,5357,5355.57,TARGET,1.43,89.38,1.78,6.83
2026-08-01T03:33:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,1,5303,5302.41,TARGET,0.59,36.88,1.99,1.29
2026-08-01T05:41:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,3,5349,5347.92,ADVERSE_TAPE,1.08,67.5,2.67,3.29
2026-08-01T06:30:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,1,5319,5319.42,ADVERSE_TAPE,-0.42,-26.25,4.51,4.46
2026-08-01T07:01:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,2,5353,5354.88,TARGET,1.88,117.5,1.54,4.82
2026-08-01T07:34:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,3,5345,5342.74,TARGET,2.26,141.25,2.28,6.74
2026-08-01T08:13:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,1,5351,5351.46,STOP,-0.46,-28.75,4.07,4.78
2026-08-01T08:53:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,1,5308,5307.81,ADVERSE_TAPE,-0.19,-11.88,6.12,2.87
2026-08-01T09:28:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,3,5326,5323.61,TARGET,2.39,149.38,1.32,5.92
2026-08-01T09:47:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,3,5339,5339.38,ADVERSE_TAPE,-0.38,-23.75,5.77,4.57
2026-08-01T10:40:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,2,5308,5308.5,ADVERSE_TAPE,-0.5,-31.25,5.5,2.86
2026-08-01T11:27:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,1,5305,5304.33,STOP,-0.67,-41.88,2.89,4.21
2026-08-04T04:12:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,2,5348,5346.38,TARGET,1.62,101.25,0.64,6.91
2026-08-04T06:01:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,2,5348,5348.39,STOP,-0.39,-24.38,3.02,2.4
2026-08-04T06:38:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,1,5338,5338.47,ADVERSE_TAPE,-0.47,-29.38,4.5,3.23
2026-08-04T06:55:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,2,5301,5297.96,TARGET,3.04,190,2.25,6.47
2026-08-04T07:51:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,3,5317,5314.29,TARGET,2.71,169.38,0.84,6.38
2026-08-04T09:23:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,2,5305,5304.64,STOP,-0.36,-22.5,6.44,3.85
2026-08-04T09:48:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,3,5309,5306.36,ADVERSE_TAPE,2.64,165,2.56,5.51
2026-08-04T11:36:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,2,5328,5328.33,STOP,-0.33,-20.63,5.81,3.8
2026-08-05T05:13:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,2,5325,5326.29,TARGET,1.29,80.63,1.61,4.7
2026-08-05T05:18:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,2,5307,5307.93,STOP,-0.93,-58.13,5.92,3.7
2026-08-05T07:02:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,2,5319,5319.8,ZONE_INVALID,-0.8,-50,4.32,2.05
2026-08-05T08:26:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,3,5346,5345.25,STOP,-0.75,-46.88,2.32,5.27
2026-08-05T08:47:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,1,5326,5325.64,STOP,-0.36,-22.5,2.27,1.83
2026-08-05T09:01:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,3,5308,5310.66,TARGET,2.66,166.25,1.61,7.82
2026-08-05T09:09:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,3,5321,5320.52,ZONE_INVALID,-0.48,-30,4.07,1.25
2026-08-05T09:12:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,3,5335,5335.77,STOP,-0.77,-48.13,2.84,1.73
2026-08-05T09:42:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,2,5321,5322.08,ADVERSE_TAPE,1.08,67.5,1.92,6.05
2026-08-05T11:04:00Z,MFFU-DEMO01,MyFunded Futures,MES,SHORT,1,5305,5302.81,TARGET,2.19,136.88,1.31,4.92
2026-08-05T11:29:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,1,5350,5350.81,TARGET,0.81,50.63,2.69,3.54
2026-08-05T11:46:00Z,MFFU-DEMO01,MyFunded Futures,MES,LONG,3,5344,5343.41,STOP,-0.59,-36.88,4.62,1.46
